name,affiliation,country,dept,year,homepage
Anders MÌüller ,Aarhus University,europe,plan,2001,https://cs.au.dk/~amoeller/
Aslan Askarov ,Aarhus University,europe,plan,2012,http://askarov.net/
Christian N. S. Pedersen ,Aarhus University,europe,act,2013,http://users-birc.au.dk/cstorm/
Christian NÌürgaard Storm Pedersen ,Aarhus University,europe,#N/A,#N/A,http://users-birc.au.dk/cstorm/
Claudio Orlandi ,Aarhus University,europe,crypt,2010,http://www.cs.au.dk/~orlandi/
Eve Hoggan ,Aarhus University,europe,#N/A,#N/A,http://www.evehoggan.com/
Gerth StÌülting Brodal ,Aarhus University,europe,act,1996,http://cs.au.dk/~gerth/
Gudmund Skovbjerg Frandsen ,Aarhus University,europe,act,1993,http://cs.au.dk/~gudmund/
Hans JÌ¦rg MÌ_ller ,Aarhus University,europe,#N/A,#N/A,http://pure.au.dk/portal/en/persons/id(3e718f2c-7cc4-4cc5-8f05-87e65963d7c1).html/
Henrik BÌ_rbak Christensen ,Aarhus University,europe,chi,2002,http://pure.au.dk/portal/en/persons/henrik-baerbak-christensen(4f747aba-32e8-4492-841f-1f9130be6909).html/
Ira Assent ,Aarhus University,europe,mlmining,2005,http://www.cs.au.dk/~ira/
Ivan Bjerre DamgÌ´rd ,Aarhus University,europe,crypt,2013,http://pure.au.dk/portal/en/persons/id(70603eb5-52fd-41e3-8752-15d803c3af5c).html/
Ivan DamgÌ´rd ,Aarhus University,europe,act,1988,http://pure.au.dk/portal/en/persons/id(70603eb5-52fd-41e3-8752-15d803c3af5c).html/
Jesper Buus Nielsen ,Aarhus University,europe,act,2004,http://www.cs.au.dk/~jbn/
JÌ¦rg MÌ_ller ,Aarhus University,europe,#N/A,#N/A,http://pure.au.dk/portal/en/persons/id(3e718f2c-7cc4-4cc5-8f05-87e65963d7c1).html/
Kaj GrÌünbÌ_k ,Aarhus University,europe,chi,2015,http://au.dk/en/kgronbak@cs/
Kasper Dalgaard Larsen ,Aarhus University,europe,act,2009,http://www.madalgo.au.dk/~larsen/
Kasper Green Larsen ,Aarhus University,europe,act,2011,http://www.madalgo.au.dk/~larsen/
Kristoffer Arnsfelt Hansen ,Aarhus University,europe,act,2011,http://www.cs.au.dk/~arnsfelt/
Kurt Jensen ,Aarhus University,europe,#N/A,#N/A,http://pure.au.dk/portal/en/persons/kurt-jensen(40695a62-b356-4d94-b437-4db0be203bdc).html/
Lars Arge ,Aarhus University,europe,act,1996,http://cs.au.dk/~large/
Lars Birkedal ,Aarhus University,europe,log,1998,http://cs.au.dk/~birke/
Marianne Graves Petersen ,Aarhus University,europe,chi,2012,http://au.dk/en/mgraves@cs/
Michael I. Schwartzbach ,Aarhus University,europe,act,1992,http://cs.au.dk/~mis/
Morten Kyng ,Aarhus University,europe,chi,1994,http://au.dk/en/mkyng@cs/
Niels Olof Bouvin ,Aarhus University,europe,chi,2010,http://pure.au.dk/portal/en/persons/niels-olof-bouvin(a100614b-adba-4dfe-9ada-8df77bfed841).html/
Olav W. Bertelsen ,Aarhus University,europe,#N/A,#N/A,http://au.dk/en/olavb@cs/
Olav Wedege Bertelsen ,Aarhus University,europe,#N/A,#N/A,http://cs.au.dk/~olavb/
Ole Caprani ,Aarhus University,europe,#N/A,#N/A,http://au.dk/en/ocaprani@cs/
Olivier Danvy ,Aarhus University,europe,plan,1987,http://cs.au.dk/~danvy/
Peyman Afshani ,Aarhus University,europe,act,2009,http://www.cs.au.dk/~peyman/
Susanne BÌüdker ,Aarhus University,europe,chi,2010,http://pure.au.dk/portal/en/persons/id(87d4fbb6-b38c-449e-b87d-59f693b7d6f0).html/
Thomas Dueholm Hansen ,Aarhus University,europe,act,2011,http://cs.au.dk/~tdh/
Amit Dvir ,Ariel University,europe,#N/A,#N/A,http://www.ariel.ac.il/sites/amitd
Amos Azaria ,Ariel University,europe,ai,2011,http://www.ariel.ac.il/projects/trp/GeneralInformation.asp?numRec=548&numtafrit=1&id_lang=1&d=
Anat Paskin ,Ariel University,europe,crypt,2010,http://www.ariel.ac.il/Projects/trp/GeneralInformation.asp?numRec=483&numtafrit=1&id_lang=1&d=
Anat Paskin-Cherniavsky ,Ariel University,europe,crypt,2014,http://www.ariel.ac.il/Projects/trp/GeneralInformation.asp?numRec=483&numtafrit=1&id_lang=1&d=
